Institution,OA Type,Discipline,Progress,Duration (in seconds),Finished,Do you agree to participate in this study?,GOLD ONLY Was there a fee (article processing charge) for the publication indicated in our email to you?,"GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Selected Choice","GOLD ONLY If you had grant funding to publish your next article open access in a journal that charged a fee, would you be willing to pay it? - Maybe - Text",Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Selected Choice,Where did funding come from for payment of the fee? (whether you paid for the fee or a co-author paid for it; select all that apply if multiple funding sources apply) - Other - Text,"If you didn't have access to this funding, would you still have published in this journal? - Selected Choice","If you didn't have access to this funding, would you still have published in this journal? - Other - Text","If you had a colleague at an R3 university with zero grant funding, do you think this fee would be reasonable for them to pay?",What fees (if any) do you think are reasonable for journals to ask in exchange for open access publishing? (Please select the highest range you would deem reasonable),How do you perceive your ability to pay a publishing fee compared to other researchers in your field?,Do you have any additional comments regarding authors' ability to pay publishing fees for open access?,Do you have any additional comments about the topics in this survey?
Pitt,Hybrid,HM,100,175,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,140,TRUE,I agree to participate,N/A,N/A,N/A,"Grant,Department",,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,94,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Somewhat unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,60,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,71,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,129,TRUE,I agree to participate,N/A,N/A,N/A,"Grant,Department,Library",,No,,Somewhat unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,N/A
Pitt,Hybrid,HM,89,712,FALSE,I agree to participate,N/A,N/A,N/A,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,165,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,No,,Extremely unreasonable,Less than or equal to $3k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,High publication fees take away from funds that could be used to fund the research,Thank you for doing this
Pitt,Hybrid,HM,100,107,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,Other,would look for cheaper option,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,open access is great but publishers are making a lot of money from something that shouldn't cost them that much,
Pitt,Hybrid,HM,100,27,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,298,TRUE,I agree to participate,N/A,N/A,N/A,Other university funding,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I think it has become very clear to many researchers that Open Access Fees are yet one more barrier to equality. The notorious biases in grant funding against diverse individuals mean that only the richest, and thus, the whitest, male-est, most senior people are easily able to pay for open access publications. What this means is that the publications which are read by the general population are going to be from the least diverse people. This is sad. I pay for public access when I can, but do  not begrudge those who can't. Other solutions, particularly involving universities committing to paying open access fees or journals dropping those fees, seem important to investigate.",
Pitt,Hybrid,HM,100,163,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
Pitt,Hybrid,HM,100,231,TRUE,I agree to participate,N/A,N/A,N/A,"The fee was waived,Other","I am a subeditor for this journal which is a yearly collection of best articles in subfields, so there is no charge.",No,,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,"I think given that we are now all electronic, journals are making huge money while the work is done for free (mostly by academics; someone must work out the business model so that no one has to do unreasonable things. This affects equity in science, and I'm sure many worthwhile things aren't ublished due to charges.",
UCB,Hybrid,NSE,100,148,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"With open access being mandated by US government, the model HAS to turn to library or university (through negotiation of IDC returns) funding, not individual investigators.",
UCB,Hybrid,NSE,100,588,TRUE,I agree,N/A,N/A,N/A,I'm not sure where the funding came from,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,"Ultimately seems like a good model, but in the near term we are increasingly shifting the burden of publication costs from less-publishing consumers (industry, non research-intensive academic) to grants, without most funders increasing grants to keep up (just one of many costs of research growing faster than grants) which makes things challenging.  As a result I try to avoid paying open access fees whenever possible. ",
UCB,Hybrid,NSE,100,70,TRUE,I agree,N/A,N/A,N/A,Department,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,NSE,100,86,TRUE,I agree,N/A,N/A,N/A,"Grant,I'm not sure where the funding came from",,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,NSE,100,197,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,,Most scientists are in a bind with respect to open access publication. We are fully supportive of the concept but outraged by the high fees charged by some top journals. 
UCB,Hybrid,NSE,100,145,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,NSE,100,110,TRUE,I agree,N/A,N/A,N/A,The fee was waived,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,NSE,100,151,TRUE,I agree,N/A,N/A,N/A,I'm not sure where the funding came from,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely reasonable,No fees are reasonable,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"It is hard to justify in grant budgets, and often unpredictable. All articles have open access options, and some (Nature Materials) are over $10k. Open access is a proven way to increase citations, and therefore aiming for large funding rather than the best science can bias research evaluations.  ",
UCB,Hybrid,NSE,100,120,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Somewhat unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,HM,100,103,TRUE,I agree,N/A,N/A,N/A,Department,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,No fees are reasonable,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,HM,100,154,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,"My ability to publish open access depends on which grant-funded project. For one f my projects the funder will cover these costs, on most others it is not feasible.",
UCB,Hybrid,HM,100,24,TRUE,I agree,N/A,N/A,N/A,Grant,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,HM,100,52,TRUE,I agree,N/A,N/A,N/A,"Grant,Other university funding",,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,HSS,100,84,TRUE,I agree,N/A,N/A,N/A,"Department,Other university funding",,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,n/a,n/a
UCB,Hybrid,HSS,100,92,TRUE,I agree,N/A,N/A,N/A,The fee was waived,,"Yes, but I would have chose the subscription publishing option (not open access)",,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UCB,Hybrid,HSS,100,115,TRUE,I agree,N/A,N/A,N/A,Other,Start-up grant,No,,Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Hybrid,NSE,100,70,TRUE,I agree to participate,N/A,N/A,N/A,Department,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UMass,Hybrid,NSE,100,205,TRUE,I agree to participate,N/A,N/A,N/A,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,I have refused to submit to journals that make these charges when I do not have grant funding to cover them.,
UMass,Hybrid,NSE,100,59,TRUE,I agree to participate,N/A,N/A,N/A,"Grant,Other university funding",,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Hybrid,NSE,100,204,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, I would have found another source of funding",,Somewhat unreasonable,Less than or equal to $1.5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Hybrid,NSE,100,15804,TRUE,I agree to participate,N/A,N/A,N/A,"Grant,Department,The fee was waived,I'm not sure where the funding came from",,No,,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,"At UMass, we have minimal support for open access that makes it very hard to find resources to publish in high-end journals requesting APCs",I think it is really important to find a method to support publications in this model as at the moment it is untenable at UMass Amherst.
UMass,Hybrid,HSS,100,115,TRUE,I agree to participate,N/A,N/A,N/A,The fee was waived,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,"It is perhaps harder in the humanities, because of the lack of grant funding and its relatively limited amounts compared to STEM. Most grants (and there are very few in the humanities) would not be sizeable enough to cover open access fees.",
UMass,Hybrid,HSS,100,152,TRUE,I agree to participate,N/A,N/A,N/A,"Library,Other university funding,The fee was waived,I'm not sure where the funding came from",,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,No fees are reasonable,It is much more difficult for me to pay publishing fees than other researchers in my field,"I do not have institutional research funds that can cover open access costs. The only reason I was able to cover this particular article, is because of an open access arrangement made by the university/library with this particular journal.",Open access costs are prohibitive.
UMass,Hybrid,HM,100,104,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,Other,"Probably not, but I would have explored some options",Extremely unreasonable,No fees are reasonable,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UMass,Hybrid,HM,50,132,FALSE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely reasonable,,,,
UTK,Hybrid,HSS,100,249,TRUE,I agree to participate,N/A,N/A,N/A,The fee was waived,,No,,Extremely unreasonable,Less than or equal to $500,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,HSS,100,114,TRUE,I agree to participate,N/A,N/A,N/A,Department,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Extremely unreasonable,Less than or equal to $500,It is somewhat more difficult for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,NSE,100,53,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, I would have found another source of funding",,Extremely reasonable,Less than or equal to $3k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,NSE,100,162,TRUE,I agree to participate,N/A,N/A,N/A,"Grant,Library,Other",Vouchers from peer-review service,No,,Extremely unreasonable,Less than or equal to $1.5k,It is much easier for me to pay publishing fees than other researchers in my field,"We provide peer-review service, editorial service.. Journals APCs are legalized thevery, esp. at high-end range.",
UTK,Hybrid,NSE,100,74,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, I would have found another source of funding",,Extremely unreasonable,Less than or equal to $500,It is much easier for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,NSE,13,33,FALSE,I agree to participate,N/A,N/A,N/A,,,,,,,,,
UTK,Hybrid,NSE,100,130,TRUE,I agree to participate,N/A,N/A,N/A,Other university funding,,"Yes, I would have found another source of funding",,Extremely reasonable,Less than or equal to $1.5k,It is somewhat easier for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,NSE,100,44,TRUE,I agree to participate,N/A,N/A,N/A,Grant,,"Yes, but I would have chosen the subscription publishing option, not open access.",,Somewhat unreasonable,Less than or equal to $5k,It is about the same difficulty for me to pay publishing fees than other researchers in my field,,
UTK,Hybrid,HM,100,653,TRUE,I agree to participate,N/A,N/A,N/A,Department,,No,,Extremely unreasonable,Less than or equal to $500,It is much more difficult for me to pay publishing fees than other researchers in my field,"Being new to research and publishing, I had no idea where else to get funding or how to work within the system. 
",
